a,ある
aardvark,ツチブタ
aardwolf,アードウルフ
ab,腹筋
aba,アバ
abaca,アバカ
abacist,そろばん学者
aback,びっくりした
abactinal,無菌性の
abacus,そろばん
abaddon,アバドン
abaft,船尾
abalienate,緩和する
abalienation,ホエネーション
abalone,アワビ
abampere,それらを私にください
abandon,放棄
abandoned,放棄された
abandonment,放棄
abarticulation,アーティキュレーション
abase,卑劣な
abased,卑劣な
abasement,屈辱
abash,恥ずかしい
abashed,恥ずかしかった
abashment,恥
abasia,アバシア
abasic,基本的でない
abate,軽減する
abatement,軽減
abating,弱まる
abatis,逆茂木
abatjour,違反行為
abattis,アオバティス
abattoir,屠殺場
abaxial,背軸性
abba,お父さん
abbacy,修道院
abbatial,アバシャル
abbatical,休暇中の
abbatis,そして父親
abbe,アッベ
abbess,修道院長
abbey,修道院
abbot,修道院長
abbreviate,省略する
abbreviated,省略された
abbreviation,略語
abbreviature,略語
abc,ABC
abcoulomb,腹部
abdal,アブダル
abderite,アブデライト
abdicable,退位可能な
abdicant,退位者
abdicate,退位する
abdication,退位
abdicator,退位者
abditory,貪欲な
abditos,アブディトス
abdomen,腹部
abdominal,腹部
abdominocentesis,腹部穿刺
abdominoscope,腹部鏡
abdominoscopy,腹部鏡検査
abdominous,腹部の
abdominousness,腹部
abdominovesical,腹部膀胱用
abduce,誘拐する
abducent,誘拐された
abduct,拉致
abduction,拉致
abductive,誘拐的な
abductor,誘拐犯
abeam,横向き
abecedarian,肥満者
abecedarius,アベセダリウス
abecedary,禁欲的な
abed,ベッド
abel,アベル
abelia,アベリア
abelmoschus,アベルモシュス
abelmosk,アベル・ムスク
abends,異常終了する
aber,アブ
aberdeen,アバディーン
aberdevine,アバーディバイン
aberrance,異常
aberrant,異常な
aberration,収差
abest,最高
abet,煽る
abetalipoproteinemia,無βリポタンパク血症
abetment,教唆
abettor,教唆者
abeunt,豊かな
abeyance,停止
abeyant,休止中
abfarad,恥ずかしい
abhenry,異常な
abhor,嫌悪する
abhorrence,嫌悪感
abhorrent,忌まわしい
abhorrer,憎むべき者へ
abibis,アビビス
abidance,遵守
abide,とどまる
abiding,永続的な
abidjan,アビジャン
abience,ツーンス
abient,二
abies,アビス
abigail,アビゲイル
abiit,滞在する
abilities,能力
ability,能力
abiogenesis,生物発生
abiogenetic,非生物的な
abiogenist,生物起源論者
abiotrophy,生体栄養症
abito,アビト
abject,ひどい
abjection,異議
abjectly,ひどく
abjectness,卑劣さ
abjunction,断絶
abjuration,アブジュレーション
abjurationabjurement,アブジュレーションアブジュレーション
abjure,忌まわしい
abkari,アブカリ
ablactation,切除
ablated,切除された
ablation,アブレーション
ablative,切除的
ablaut,爆発する
ablaze,燃え上がる
able,できる
ablebodied,健常者
ablegate,ブルゲート
ableism,障害者主義
ableness,能力
ablepharia,無能力者
ablepsia,障害者
ablepsy,障害者
abloom,咲く
ablude,あざける
ablution,清め
ablutionary,清めの
abnaki,アブナキ
abnegation,棄権
abnegator,アブネゲーター
abnormal,異常な
abnormality,異常
abnormalize,異常にする
abnormally,異常に
abnormis,異常
abnormity,異常
abnormous,異常な
aboard,乗っています
abocclusion,閉塞
abode,住居
abodement,住居
aboding,住んでいる
abohm,異常
aboideau,アボイドー
abois,アボワ
aboiteau,アボワトー
abolengo,アボレンゴ
abolish,廃止する
abolishable,廃止可能
abolishment,廃止
abolition,廃止
abolitionary,廃止された
abolitionism,奴隷制度廃止主義
abolitionist,奴隷制度廃止論者
abolitionize,廃止する
abomasal,第四胃
abomasum,第四胃
abominable,忌まわしい
abominate,忌まわしい
abomination,忌まわしい
abominator,忌まわしい
aborad,旅行中
aboral,腹部
abord,乗っています
aboriginal,先住民族
aborigine,先住民族
aborigines,原住民
aborning,生まれる
abort,中絶
aborticide,中絶
abortifacient,中絶しやすい
abortion,中絶
abortionist,中絶医
abortive,流産した
abortively,失敗的に
abortus,中絶
abound,豊富な
abounding,豊富な
about,について
abouts,について
above,その上
aboveboard,船上
aboveground,地上
abovementioned,上記の
abovesaid,上記
abovestairs,階上
abra,アブラ
abracadabra,アブラカダブラ
abrachia,アブラキア
abrade,磨耗する
abraded,磨耗した
abrader,研磨剤
abraham,アブラハム
abramis,エイブラミス
abranchiate,枝分かれした
abrasion,摩耗
abrasive,研磨剤
abreast,並んで
abrege,アブレジュ
abreption,略語
abridge,要約する
abridged,要約された
abridger,要約者
abridgment,要約
abroach,離れる
abroad,海外
abrocoma,アブロコマ
abrocome,略奪する
abrogate,廃止する
abrogated,廃止された
abrogation,廃止
abronia,アブロニア
abrupt,突然
abruption,突然の
abruptly,突然
abruptness,突然
abruzzi,アブルッツィ語
abscess,膿瘍
abscessed,膿瘍化した
abscind,失神した
abscision,切除
abscissa,横軸
abscission,切除
abscond,逃亡
absconder,逃亡者
abscondment,逃亡
absence,不在
absens,不在
absent,不在
absentee,欠席者
absenteeism,欠勤
absently,欠席
absentminded,ぼんやりした
absentmindedness,放心状態
absento,欠席者
absents,欠席
absinth,アブサン
absinthe,アブサン
absolute,絶対
absolutely,絶対に
absoluteness,絶対
absolution,赦免
absolutism,絶対主義
absolutist,絶対主義者
absolve,許す
absolved,無罪となった
absolver,無罪にする
absolvitory,絶対的な
absolvitur,免罪
